Tweets,Class
dabaşı mahallesi atatürk cadde no 237 tat döner üst afed ekip can tespit bölge 130 ton iki vinç kesmek makine acil acil antakya ayağ kalmak lütfen iletmek 05052675401 n,1.0
tay antakya akevler mh 424 sk melis ap nçok acil uz bom makas makina gerekiyornndsi makina op sinan çakırn05321350661nndeprem afad ahbap haluk levent oğuzhan uğur yard teyit,1.0
acilbu aile bir birey konuşmak ge afad görev bina girmek kolon düşmek bina yıkmak demek kırmak gerekmek yalvarmak enkaz kız pınar havare kardeş konuşmak önceacil kırmak httpstcocltyafu37l,1.0
ilginnfatma kazak aile göçük altın afaddan ge yok acil yardımnnarmutlu mahallesi 2 güven sokak buğday apartman no 18 hatay,1.0
abaşı mahallesi deşmek cadde hazret hı meydan antakyahatay n 25 kişi an ihtiyaç çadır uyku tulu battaniye kadı pedi powerbank fener soba od lazımniletişim 0 538 385 06 76nazire kösenteyit saat 13 şubat 2247n,1.0
artmanında aram kurtarmak çalışmak hız kazanmak acil afad akut ihtiyaç lütfen desteknnadres kışlasaray mah inönü cad vilyam apartman no39 antakyahatay,1.0
abaşı mahallesi uğur mum cadde bina no19 mahmut karakaş apartman hatay antakya nnaycan doğruer aile acil yard teyit lütfen yayalımnn,1.0
irtisi varn13 şubat yabi bugün 1100 mesaj atmak sarjı bitmek anmak telefon kapalı lütfen acil yard gerekmek profosyonel ekip ekipman ihtiyaç httpstcoih55cae45ı,1.0
ad lütfen yard edinmek umut tükenmek httpstcow3eihesrpp,1.0
ana maraş hatay adıyaman malatya nnistanbulda hiroşima yusuf nebatî ped elazığ seçim emine kaan zehra kolon yusuf koç türk rihanna volkan bülent naci celâl devlet acil yard can afad ahbap haluk enkaz saat mucize fulya tv polis asker httpstcombbqir9dpk,1.0
16596 lütfen arkadaş acil çadır elden elemek,1.0
yard temel ihtiyaç nhatay belemek atik köyüniletişim 0552 226 22 78 nnn,1.0
nnhatayyayladağınyayikdamlar köy nndeğerli hocalar köy gelmek çadır ihtiyaç afad vermek çadır bölge gitmek lâzım köy dışarı 200 kişi gelmek millet ev ba istif insan zor duru paylaşmak lütfennnacil lutfen,1.0
defnegt dursun köy bostan köy acil çadır gerekmek dursun köy 40 çadır bostan 20 çadır lâzım acil 156yı aramak afada form kayıtmak açmak lütfen yard edinn,1.0
dinmek deprem bölge acil ekskavatör vinç hidrolik makas ihtiyaç vardırnduyarlı vatandaşlarımıznniletişim no 0541 786 11 69naraması önem duyurmak nnahmet şahi nbelediye başkan httpstcohb7fhcwvfo,1.0
ıkhan karaçahıl mahallesi acil çadır ihtiyaç arkadaş bebek 65 üst yaş dışarı imkân battaniye altın n05421757470nerdal elmas nacil acil acil,1.0
afad gaziantep 3 gün boyun gönül saf dış bırakmak çağırmasıafad gönül aynı zaman acil yard afet yönet mezun söylenmek,1.0
merkezndışarıda kalan insan önce acil çadır ısıtmak ardından gıda su battaniye ihtiyaç bulmak afad dernek u iletmek geçmek koordinasyon sağlanacaknwhatsapp üzer zeynep han 544 692 20 44,1.0
aram kurtarmak ekip geçmek u ilşimdi kent don mağdur adıyaman acil çadır lâzım çadır acil insan donamak bulmak satmak almak yollamak afad kızılay umut kes tsk bölge birlik çadır yok httpstcowk1nyoockz,1.0
nderun eda apartman profesyonel ekip destek lâzım iletmek geçmek mınadrescengiz topal cadde pir reis mah eda apt no4 iskenderun hataynafad çalışmak apartman büyük destek ekip ihtiyaç 0 554 147 23 98,1.0
ın kardeş dr emre özarslan yıkı rönesans rezidansda yaşamak 8 gün haber almak gocukten çıkmak çıkmak hastane bilemek acil yaymak bilgi âlâ lütfen aile perişannhttpstco1ıeı1wqoty,1.0
ent nantakyada enkaz kendi kurtulmak koye sığınmak degerli meslektasim pskturgutun ora acil yakmak od ihtiyaci icin lutfen yardiminizi rica etmek ihbar dogrudur tarafima ozelden mesaj teyit almak httpstcoxjpefgsazw,1.0
mmm nnn n kesk nişancılarvs anlamak değil acil10 kedi 1 köpek 1 kuş kurtarmak bekliyor9 gün açmak susuz soguk,1.0
acil çadır giyim ihtiyaç fabrika bir yer geçmek kalmak genç bir arkadaş araba yok 13 kişi küçük çocuk iletmek 90 507 042 78 28 anmak curo afadtan çadır yok cevap al httpstcoykoiy8x5q5,1.0
11 01 ufuk atmak 5 aile acil çadır ihtiyaç telefon etmek teyit etmek çocuk çadır olmak dışarı kalmak lütfen acil desteknhttpstcoq0ayzckkaa,1.0
akya akademi hastane acil maden ekip yön gerekmektedirngöçük altın ümit bina yatmak neden müdahale edilemedinnnnnhttpstcoanpwvghwpj,1.0
inönü mah abdülkadir ermek cad genç doğanoğlu site f blok kat 1 no 1 yeşilyurtmalatyan6 numara bebek bez gıda gitmek gerekmek acil zor duru numarasın90 505 021 44 44nnmalatyada yard adres afad bi numara bilemek mın,1.0
araş nnbeyoğlu mahalesinde acil erzak yardım ihtiyaç duymak insan iç bebek bizzat kendi konuşmak rica etmek paylaşmak elden elemek u mı ricamdırnn0541 915 85 54nn,1.0
ük selim devlet hastane acil seyyar tuvalet ihtiyaç vardırhemsire arkadaş haber al,1.0
n acilnenkaz altın dü çıkmak bir abi hastane tabur olmak acil çadır soba ihtiyaç kız orta kalmak önce çadır gıda kıyafetnadres ön hopuru köy köy girmek murat bolatn,1.0
abi dayamak rönesans residansda ses gelmek acil yard,1.0
üncelnngaziantep şahinbey konak mh 81 sk no 1nirtibat haka beyn05434941541nn1 âdet ısıtmak gerekmek lütfen acil desteknndeprem afad ahbap haluk levent oğuzhan uğur antep son dakika,1.0
ur teyit hav soguk acil yard yemek giyecek battaniye gerekmek yard edinmek rica etmek httpstcotw5sdnıym3,1.0
iz deprem bolgesinde karavan yemek dagitiyoruz ocaklarimizdan bozulmak cok acil bir sekil tuple calisan buyuk ocaga ihtiyacimiz lutfen yâr edinnnhatayantakya reyhanli narenciye mahallesi 237sokak nn90 554 806 48 48,1.0
ab malatya il akçadağ ilçe dedeköy mahallesi acil gıda ihtiyaç var lütfen yard edermisiniz,1.0
r osmaniye acil yard ihtiyaç var insan açmak açık soğuk nolur ses olmak tt yapalımnafad acil yard etmek nn,1.0
nalan emaar avm arka taraf hasar bina varki deprem risk bir konu acil denetim gelmek gerekmek bir planlamak lâzım acil httpstco5trtf8bbct,1.0
erişan medya osmaniye dair 1 2 haber yayınlamak depremzede zor duru lütfen yard çağrı kulak vermek httpstcoelgsgqj7oo,1.0
d akevler mah 424 sokmak melis apt denizli afad çalışmak yapmak acil makas beklemek nolur acil yard edinmek,1.0
cilnnorduzu mh katmer sk 94 battalgazi malatya nnbir mahal dolu insan dışarıdançok acil çadır lâzım lütfen nniletişim 05443356244nnafad ahbap haluk levent oğuzhan uğur deprem destek dayanışmak babal son dakika gündem haber,1.0
rzaksoba gitmemişacil yard lütfennisa besninramazan besnincumhuriyet mah1324 sokmak no11 kahtaadıyamannramazan besni05373818123,1.0
ok acil yard ihtiyaç engel yatalak hasta var çadır kıyafet 3740 numara bot istiyornhttpstcogooqcmu9h9,1.0
iz deprem bolgesinde karavan yemek dagitiyoruz ocaklarimizdan bozulmak cok acil bir sekil tuple calisan buyuk ocaga ihtiyacimiz lutfen yâr edinnnhatayantakya reyhanli narenciye mahallesi 237sokak nn90 554 806 48 48,1.0
la malatya gıda faz sıkıntı çekiyolar gıda yard gitmek acil malatya organize sanayi top yard ulasitiricak kişi numara atıcam,1.0
